from,to,sent_diff,created_at
user_385,user_4,2,2015-05-18T10:18:20Z
user_468,user_4,3,2015-05-18T16:37:00Z
user_521,user_4,4,2015-05-11T15:51:45Z
user_538,user_4,1,2015-05-19T21:13:53Z
user_706,user_4,-0,2015-05-20T20:22:12Z
user_779,user_4,1,2015-05-07T19:23:03Z
user_823,user_4,0,2015-05-21T14:43:43Z
user_876,user_4,1,2015-05-18T09:25:27Z
user_892,user_4,2,2015-05-20T11:41:28Z
user_981,user_4,4,2015-05-08T00:55:50Z
user_1001,user_4,2,2015-05-12T17:00:00Z
user_1083,user_4,-0,2015-05-21T13:01:24Z
user_98,user_5,3,2015-05-17T12:34:52Z
user_137,user_5,1,2015-05-13T07:18:58Z
user_146,user_5,4,2015-05-12T13:57:56Z
user_167,user_5,3,2015-05-21T12:56:42Z
user_180,user_5,4,2015-05-15T18:41:46Z
user_238,user_5,4,2015-05-20T14:38:17Z
user_253,user_5,-1,2015-05-17T11:05:01Z
user_261,user_5,1,2015-05-06T09:22:03Z
user_302,user_5,0,2015-05-12T08:26:20Z
user_367,user_5,4,2015-05-11T19:01:00Z
user_465,user_5,2,2015-05-21T06:53:13Z
user_476,user_5,-2,2015-05-14T07:19:10Z
user_484,user_5,-0,2015-05-20T16:20:45Z
user_492,user_5,1,2015-05-11T12:59:54Z
user_531,user_5,2,2015-05-12T21:53:11Z
user_569,user_5,2,2015-05-19T20:59:20Z
user_573,user_5,3,2015-05-09T10:09:36Z
user_602,user_5,2,2015-05-09T13:32:17Z
user_628,user_5,4,2015-05-21T14:03:49Z
user_636,user_5,3,2015-05-17T10:38:41Z
user_685,user_5,3,2015-05-12T20:51:39Z
user_689,user_5,4,2015-05-12T21:40:37Z
user_728,user_5,3,2015-05-16T20:00:54Z
user_787,user_5,3,2015-05-21T13:22:57Z
user_875,user_5,1,2015-05-17T19:59:20Z
user_920,user_5,0,2015-05-14T20:44:18Z
user_922,user_5,2,2015-05-07T19:13:21Z
user_939,user_5,1,2015-05-11T00:25:16Z
user_948,user_5,1,2015-05-21T12:21:55Z
user_950,user_5,2,2015-05-14T12:06:36Z
user_958,user_5,1,2015-05-06T22:16:53Z
user_1016,user_5,2,2015-05-18T13:34:16Z
user_1025,user_5,3,2015-05-07T21:15:51Z
user_1039,user_5,-1,2015-05-21T12:09:01Z
user_1054,user_5,0,2015-05-09T21:26:02Z
user_1068,user_5,4,2015-05-10T14:51:23Z
user_1090,user_5,-2,2015-05-21T19:07:36Z
user_11,user_6,4,2015-05-20T14:40:44Z
user_23,user_6,-0,2015-05-20T09:29:51Z
user_71,user_6,3,2015-05-19T05:30:39Z
user_151,user_6,0,2015-05-21T09:17:33Z
user_186,user_6,4,2015-05-21T21:41:53Z
user_210,user_6,4,2015-05-14T06:59:53Z
user_216,user_6,1,2015-05-19T11:00:36Z
user_220,user_6,1,2015-05-21T17:17:13Z
user_264,user_6,3,2015-05-21T19:08:51Z
user_328,user_6,3,2015-05-08T18:56:40Z
user_382,user_6,2,2015-05-13T22:21:27Z
user_451,user_6,2,2015-05-07T16:57:56Z
user_486,user_6,1,2015-05-14T13:57:35Z
user_498,user_6,2,2015-05-11T11:39:28Z
user_510,user_6,3,2015-05-09T21:49:58Z
user_562,user_6,1,2015-05-20T17:19:22Z
user_566,user_6,3,2015-05-07T11:56:36Z
user_615,user_6,3,2015-05-12T13:33:35Z
user_621,user_6,2,2015-05-09T07:18:49Z
user_633,user_6,1,2015-05-20T10:54:12Z
user_668,user_6,1,2015-05-13T10:44:29Z
user_688,user_6,2,2015-05-21T16:00:54Z
user_704,user_6,1,2015-05-18T21:44:52Z
user_711,user_6,2,2015-05-07T20:30:17Z
user_715,user_6,4,2015-05-10T14:34:39Z
user_720,user_6,1,2015-05-12T11:29:13Z
user_903,user_6,1,2015-05-15T09:38:51Z
user_923,user_6,3,2015-05-21T14:20:16Z
user_953,user_6,-1,2015-05-12T06:53:07Z
user_971,user_6,2,2015-05-21T00:11:04Z
user_977,user_6,4,2015-05-06T16:46:08Z
user_979,user_6,3,2015-05-13T18:07:59Z
user_1010,user_6,4,2015-05-07T22:10:08Z
user_1031,user_6,0,2015-05-15T09:16:43Z
user_1055,user_6,2,2015-05-17T21:17:57Z
user_1070,user_6,1,2015-05-11T21:12:34Z
user_1096,user_6,3,2015-05-11T21:12:17Z
user_46,user_7,-1,2015-05-21T13:32:10Z
user_59,user_7,1,2015-05-15T12:50:47Z
user_64,user_7,4,2015-05-07T21:19:59Z
user_119,user_7,3,2015-05-17T09:06:08Z
user_120,user_7,-1,2015-05-08T13:28:42Z
user_124,user_7,2,2015-05-08T14:19:30Z
user_200,user_7,2,2015-05-20T17:16:22Z
user_201,user_7,-1,2015-05-21T19:50:38Z
user_213,user_7,3,2015-05-13T11:19:11Z
user_223,user_7,4,2015-05-21T13:54:28Z
user_225,user_7,4,2015-05-20T10:16:28Z
user_229,user_7,3,2015-05-19T08:39:47Z
user_257,user_7,0,2015-05-19T21:56:50Z
user_269,user_7,2,2015-05-19T23:16:33Z
user_312,user_7,0,2015-05-21T22:55:25Z
user_390,user_7,3,2015-05-15T14:28:56Z
user_402,user_7,1,2015-05-09T10:09:55Z
user_473,user_7,3,2015-05-14T09:27:38Z
user_476,user_7,1,2015-05-10T08:30:45Z
user_486,user_7,4,2015-05-10T12:44:28Z
user_496,user_7,3,2015-05-10T10:27:03Z
user_523,user_7,3,2015-05-10T13:02:29Z
user_536,user_7,4,2015-05-09T19:24:13Z
user_547,user_7,4,2015-05-13T13:56:53Z
user_561,user_7,3,2015-05-09T23:15:45Z
user_566,user_7,2,2015-05-10T11:48:18Z
user_572,user_7,4,2015-05-21T13:59:14Z
user_677,user_7,-1,2015-05-12T11:00:48Z
user_695,user_7,-1,2015-05-19T13:24:21Z
user_715,user_7,4,2015-05-12T08:20:30Z
user_785,user_7,3,2015-05-16T15:25:25Z
user_797,user_7,0,2015-05-07T19:23:27Z
user_888,user_7,3,2015-05-18T12:11:41Z
user_892,user_7,0,2015-05-20T17:27:16Z
user_927,user_7,3,2015-05-20T10:36:02Z
user_1050,user_7,2,2015-05-16T10:47:45Z
user_1093,user_7,-2,2015-05-18T11:57:40Z
user_21,user_8,1,2015-05-21T09:29:53Z
user_166,user_8,2,2015-05-17T19:07:29Z
user_196,user_8,3,2015-05-10T15:10:55Z
user_203,user_8,2,2015-05-19T20:45:17Z
user_204,user_8,3,2015-05-14T09:04:08Z
user_288,user_8,3,2015-05-19T12:24:20Z
user_311,user_8,0,2015-05-08T00:52:37Z
user_315,user_8,2,2015-05-07T08:18:21Z
user_318,user_8,4,2015-05-10T18:09:25Z
user_381,user_8,4,2015-05-21T12:25:03Z
user_399,user_8,3,2015-05-14T11:00:55Z
user_408,user_8,-1,2015-05-21T22:25:56Z
user_469,user_8,1,2015-05-21T07:55:15Z
user_494,user_8,0,2015-05-10T07:44:07Z
user_554,user_8,-1,2015-05-21T15:09:09Z
user_584,user_8,4,2015-05-16T09:09:01Z
user_809,user_8,1,2015-05-15T23:36:51Z
user_890,user_8,3,2015-05-11T20:33:58Z
user_941,user_8,0,2015-05-15T15:59:59Z
user_955,user_8,4,2015-05-19T20:43:01Z
user_972,user_8,2,2015-05-15T09:02:59Z
user_976,user_8,3,2015-05-15T10:47:22Z
user_1004,user_8,3,2015-05-14T20:43:42Z
user_1005,user_8,4,2015-05-14T20:37:00Z
user_1006,user_8,4,2015-05-18T13:15:25Z
user_1010,user_8,-0,2015-05-12T18:37:18Z
user_1021,user_8,3,2015-05-20T15:46:57Z
user_1043,user_8,3,2015-05-17T11:58:08Z
user_1062,user_8,1,2015-05-16T17:32:30Z
user_1072,user_8,-0,2015-05-12T11:55:27Z
user_1100,user_8,4,2015-05-15T06:38:23Z
user_5,user_9,0,2015-05-19T11:05:19Z
user_126,user_9,1,2015-05-20T08:40:23Z
user_145,user_9,0,2015-05-08T17:34:46Z
user_320,user_9,1,2015-05-11T21:16:14Z
user_321,user_9,3,2015-05-19T20:59:02Z
user_330,user_9,3,2015-05-18T15:28:17Z
user_398,user_9,3,2015-05-21T08:32:53Z
user_399,user_9,4,2015-05-20T20:59:51Z
user_471,user_9,4,2015-05-21T10:47:51Z
user_526,user_9,4,2015-05-17T14:29:29Z
user_692,user_9,4,2015-05-19T11:04:12Z
user_706,user_9,1,2015-05-08T10:30:46Z
user_714,user_9,2,2015-05-09T10:40:57Z
user_737,user_9,3,2015-05-19T20:33:18Z
user_794,user_9,1,2015-05-16T19:56:51Z
user_842,user_9,3,2015-05-21T20:51:42Z
user_855,user_9,2,2015-05-12T09:49:40Z
user_879,user_9,1,2015-05-18T22:51:25Z
user_888,user_9,3,2015-05-19T19:59:23Z
user_928,user_9,-1,2015-05-06T14:17:48Z
user_944,user_9,-1,2015-05-11T23:10:36Z
user_1000,user_9,2,2015-05-14T16:15:05Z
user_1009,user_9,0,2015-05-08T23:23:40Z
user_1018,user_9,3,2015-05-21T23:27:33Z
user_1060,user_9,4,2015-05-21T22:58:40Z
user_9,user_10,3,2015-05-12T22:21:12Z
user_29,user_10,4,2015-05-11T18:03:04Z
user_73,user_10,3,2015-05-17T11:30:51Z
user_155,user_10,3,2015-05-18T22:16:17Z
user_282,user_10,1,2015-05-11T00:56:41Z
user_312,user_10,1,2015-05-18T16:47:32Z
user_320,user_10,2,2015-05-21T17:14:26Z
user_331,user_10,4,2015-05-11T18:04:22Z
user_397,user_10,3,2015-05-15T22:31:36Z
user_429,user_10,3,2015-05-16T22:34:23Z
user_452,user_10,0,2015-05-21T16:55:19Z
user_467,user_10,4,2015-05-13T17:27:06Z
user_526,user_10,2,2015-05-21T11:24:41Z
user_531,user_10,4,2015-05-14T21:14:08Z
user_583,user_10,3,2015-05-13T10:34:13Z
user_672,user_10,3,2015-05-14T21:23:55Z
user_693,user_10,2,2015-05-12T08:18:23Z
user_741,user_10,3,2015-05-21T08:08:12Z
user_745,user_10,3,2015-05-18T15:09:29Z
user_773,user_10,2,2015-05-13T19:30:03Z
user_774,user_10,2,2015-05-14T13:48:41Z
user_778,user_10,1,2015-05-08T09:10:02Z
user_898,user_10,1,2015-05-13T20:30:10Z
user_912,user_10,1,2015-05-19T20:49:29Z
user_944,user_10,3,2015-05-07T20:43:54Z
user_993,user_10,0,2015-05-11T21:05:34Z
user_1012,user_10,3,2015-05-12T19:58:35Z
user_1031,user_10,-1,2015-05-16T11:41:38Z
user_1039,user_10,1,2015-05-15T09:25:56Z
user_1045,user_10,3,2015-05-12T22:00:34Z
user_1070,user_10,4,2015-05-21T00:12:55Z
user_33,user_11,0,2015-05-18T14:55:15Z
user_60,user_11,2,2015-05-17T18:41:23Z
user_64,user_11,-1,2015-05-17T13:45:39Z
user_93,user_11,3,2015-05-17T21:25:50Z
user_134,user_11,4,2015-05-18T14:28:15Z
user_147,user_11,0,2015-05-14T11:39:39Z
user_154,user_11,4,2015-05-19T21:54:44Z
user_180,user_11,3,2015-05-14T19:53:44Z
user_239,user_11,3,2015-05-14T21:10:38Z
user_250,user_11,2,2015-05-07T18:35:41Z
user_309,user_11,2,2015-05-20T23:58:28Z
user_326,user_11,3,2015-05-14T12:39:42Z
user_330,user_11,3,2015-05-14T22:33:17Z
user_332,user_11,2,2015-05-21T13:44:33Z
user_384,user_11,3,2015-05-11T21:01:36Z
user_385,user_11,3,2015-05-11T05:57:10Z
user_423,user_11,4,2015-05-21T17:12:05Z
user_426,user_11,-1,2015-05-19T20:37:53Z
user_576,user_11,-2,2015-05-19T09:03:12Z
user_603,user_11,0,2015-05-19T21:27:10Z
user_606,user_11,3,2015-05-11T20:51:02Z
user_627,user_11,2,2015-05-11T20:48:42Z
user_638,user_11,2,2015-05-13T16:27:49Z
user_639,user_11,4,2015-05-09T15:43:54Z
user_691,user_11,4,2015-05-13T23:14:27Z
user_729,user_11,2,2015-05-20T08:46:22Z
user_767,user_11,2,2015-05-14T16:36:01Z
user_862,user_11,1,2015-05-18T17:33:28Z
user_877,user_11,3,2015-05-18T15:08:16Z
user_895,user_11,-0,2015-05-21T21:53:16Z
user_916,user_11,0,2015-05-15T07:23:07Z
user_921,user_11,0,2015-05-19T16:56:12Z
user_960,user_11,4,2015-05-11T22:02:16Z
user_993,user_11,3,2015-05-17T22:33:56Z
user_1004,user_11,2,2015-05-21T10:37:28Z
user_1053,user_11,4,2015-05-15T12:40:33Z
user_1073,user_11,3,2015-05-18T10:37:05Z
user_1075,user_11,-3,2015-05-09T22:22:58Z
user_15,user_12,1,2015-05-18T21:33:33Z
user_39,user_12,4,2015-05-20T15:14:47Z
user_50,user_12,1,2015-05-12T08:05:29Z
user_58,user_12,1,2015-05-21T12:21:55Z
user_66,user_12,-0,2015-05-18T20:14:26Z
user_85,user_12,2,2015-05-18T01:36:59Z
user_90,user_12,3,2015-05-06T17:18:28Z
user_130,user_12,3,2015-05-09T19:03:37Z
user_153,user_12,4,2015-05-17T10:07:13Z
user_236,user_12,2,2015-05-12T18:40:40Z
user_313,user_12,2,2015-05-11T19:33:11Z
user_322,user_12,2,2015-05-09T21:44:52Z
user_362,user_12,4,2015-05-18T09:51:37Z
user_383,user_12,3,2015-05-19T21:14:18Z
user_433,user_12,3,2015-05-10T20:13:05Z
user_461,user_12,2,2015-05-13T13:32:22Z
user_463,user_12,2,2015-05-21T20:21:27Z
user_481,user_12,4,2015-05-21T08:31:29Z
user_537,user_12,2,2015-05-20T09:03:52Z
user_557,user_12,2,2015-05-13T03:55:38Z
user_598,user_12,4,2015-05-09T17:50:37Z
user_675,user_12,4,2015-05-13T21:01:28Z
user_717,user_12,4,2015-05-06T10:22:35Z
user_736,user_12,2,2015-05-10T20:08:32Z
user_740,user_12,1,2015-05-17T10:11:46Z
user_761,user_12,3,2015-05-19T20:16:46Z
user_771,user_12,4,2015-05-18T16:19:37Z
user_777,user_12,2,2015-05-14T15:20:58Z
user_781,user_12,1,2015-05-20T06:44:53Z
user_816,user_12,2,2015-05-16T14:34:31Z
user_843,user_12,2,2015-05-06T08:20:26Z
user_912,user_12,2,2015-05-19T09:04:15Z
user_921,user_12,2,2015-05-19T21:16:50Z
user_957,user_12,3,2015-05-09T05:36:10Z
user_1019,user_12,0,2015-05-11T14:43:44Z
user_1057,user_12,1,2015-05-19T15:21:13Z
user_1082,user_12,1,2015-05-20T13:23:09Z
user_23,user_13,3,2015-05-21T10:47:21Z
user_31,user_13,4,2015-05-21T16:16:05Z
user_61,user_13,-1,2015-05-14T22:04:04Z
user_68,user_13,1,2015-05-21T22:44:49Z
user_132,user_13,3,2015-05-20T08:04:30Z
user_215,user_13,-2,2015-05-11T13:16:50Z
user_259,user_13,4,2015-05-09T19:03:08Z
user_283,user_13,4,2015-05-11T16:11:00Z
user_294,user_13,3,2015-05-12T13:58:22Z
user_362,user_13,3,2015-05-06T20:13:44Z
user_370,user_13,1,2015-05-14T10:21:02Z
user_383,user_13,-2,2015-05-18T17:28:16Z
user_384,user_13,-0,2015-05-17T01:12:54Z
user_421,user_13,3,2015-05-19T21:54:32Z
user_512,user_13,-0,2015-05-15T08:48:53Z
user_513,user_13,2,2015-05-08T23:57:14Z
user_515,user_13,2,2015-05-20T00:21:03Z
user_523,user_13,4,2015-05-19T21:03:12Z
user_559,user_13,1,2015-05-16T00:14:54Z
user_620,user_13,4,2015-05-17T20:37:13Z
user_636,user_13,2,2015-05-15T10:39:03Z
user_713,user_13,1,2015-05-12T02:21:23Z
user_725,user_13,-1,2015-05-09T15:36:39Z
user_727,user_13,3,2015-05-13T09:08:35Z
user_740,user_13,0,2015-05-20T13:40:07Z
user_809,user_13,2,2015-05-07T08:29:39Z
user_812,user_13,3,2015-05-18T21:36:51Z
user_907,user_13,1,2015-05-15T19:42:56Z
user_938,user_13,1,2015-05-17T22:44:25Z
user_940,user_13,2,2015-05-13T16:35:49Z
user_941,user_13,1,2015-05-20T08:38:07Z
user_948,user_13,3,2015-05-21T16:00:33Z
user_979,user_13,3,2015-05-07T22:05:47Z
user_996,user_13,0,2015-05-15T13:52:22Z
user_1029,user_13,4,2015-05-18T11:20:50Z
user_1046,user_13,4,2015-05-10T16:19:38Z
user_1093,user_13,0,2015-05-13T06:12:24Z
user_137,user_14,-1,2015-05-19T08:01:02Z
user_178,user_14,-1,2015-05-14T21:09:21Z
user_216,user_14,-0,2015-05-09T16:50:05Z
user_282,user_14,-2,2015-05-19T11:40:24Z
user_339,user_14,4,2015-05-09T22:01:27Z
user_354,user_14,0,2015-05-10T09:37:56Z
user_360,user_14,4,2015-05-11T13:18:00Z
user_384,user_14,-1,2015-05-19T11:39:11Z
user_386,user_14,-3,2015-05-19T09:35:12Z
user_408,user_14,-3,2015-05-09T14:51:24Z
user_418,user_14,-3,2015-05-13T07:29:19Z
user_514,user_14,4,2015-05-19T21:35:05Z
user_525,user_14,-3,2015-05-11T08:10:26Z
user_535,user_14,2,2015-05-10T17:18:54Z
user_543,user_14,-2,2015-05-14T23:06:27Z
user_544,user_14,-1,2015-05-19T21:03:55Z
user_564,user_14,-1,2015-05-17T07:41:33Z
user_601,user_14,-3,2015-05-14T07:35:11Z
user_707,user_14,-1,2015-05-20T16:34:45Z
user_729,user_14,-4,2015-05-20T01:13:31Z
user_733,user_14,-3,2015-05-12T10:52:19Z
user_748,user_14,-4,2015-05-20T22:15:18Z
user_799,user_14,2,2015-05-21T09:00:31Z
user_844,user_14,1,2015-05-08T13:34:04Z
user_854,user_14,-0,2015-05-16T20:43:32Z
user_885,user_14,-3,2015-05-14T09:07:57Z
user_890,user_14,-0,2015-05-20T13:50:07Z
user_902,user_14,-3,2015-05-20T13:31:48Z
user_955,user_14,2,2015-05-20T13:28:51Z
user_967,user_14,1,2015-05-08T11:00:41Z
user_968,user_14,1,2015-05-15T13:04:43Z
user_1006,user_14,-1,2015-05-11T21:41:28Z
user_1050,user_14,-1,2015-05-21T00:12:55Z
user_1056,user_14,2,2015-05-21T10:23:24Z
user_1100,user_14,2,2015-05-17T19:07:29Z
user_7,user_15,3,2015-05-09T17:13:43Z
user_15,user_1100,2,2015-05-15T08:40:24Z
user_31,user_15,-1,2015-05-14T21:28:25Z
user_44,user_15,1,2015-05-12T13:25:33Z
user_46,user_15,0,2015-05-07T17:19:09Z
user_85,user_15,-2,2015-05-10T18:36:50Z
user_87,user_15,1,2015-05-11T07:01:00Z
user_141,user_15,-0,2015-05-10T01:38:45Z
user_184,user_15,-2,2015-05-20T18:37:01Z
user_196,user_15,0,2015-05-06T22:54:38Z
user_301,user_15,-3,2015-05-16T16:17:52Z
user_318,user_15,0,2015-05-21T19:38:41Z
user_353,user_15,-2,2015-05-15T20:56:53Z
user_397,user_15,2,2015-05-21T13:01:24Z
user_523,user_15,2,2015-05-17T19:03:51Z
user_568,user_15,1,2015-05-16T18:20:09Z
user_612,user_15,-1,2015-05-12T12:21:08Z
user_689,user_15,-2,2015-05-14T20:12:09Z
user_694,user_15,-0,2015-05-15T11:05:28Z
user_733,user_15,-4,2015-05-17T22:19:35Z
user_804,user_15,-1,2015-05-09T18:48:33Z
user_825,user_15,-1,2015-05-15T13:46:59Z
user_910,user_15,1,2015-05-07T18:22:57Z
user_950,user_15,0,2015-05-21T00:11:04Z
user_987,user_15,-1,2015-05-14T12:58:53Z
user_1060,user_15,-1,2015-05-21T00:12:55Z
user_1086,user_15,-3,2015-05-14T22:57:54Z
user_1088,user_15,1,2015-05-18T13:09:40Z
user_18,user_16,-3,2015-05-06T22:08:13Z
user_24,user_16,3,2015-05-07T16:17:15Z
user_26,user_16,0,2015-05-13T06:39:44Z
user_29,user_16,-1,2015-05-20T11:18:16Z
user_86,user_16,3,2015-05-17T07:56:15Z
user_134,user_16,-2,2015-05-08T23:52:38Z
user_155,user_16,-0,2015-05-19T01:14:18Z
user_160,user_16,3,2015-05-17T09:13:12Z
user_199,user_16,-2,2015-05-18T18:41:12Z
user_248,user_16,2,2015-05-19T21:32:42Z
user_435,user_16,-3,2015-05-16T17:48:51Z
user_451,user_16,2,2015-05-16T07:07:35Z
user_454,user_16,0,2015-05-12T22:36:30Z
user_462,user_16,0,2015-05-21T18:12:23Z
user_478,user_16,-0,2015-05-10T18:59:53Z
user_486,user_16,0,2015-05-20T20:57:17Z
user_491,user_16,-2,2015-05-18T10:40:28Z
user_502,user_16,-1,2015-05-08T10:13:40Z
user_655,user_16,-2,2015-05-20T00:20:23Z
user_728,user_16,3,2015-05-21T13:21:46Z
user_758,user_16,3,2015-05-21T23:05:51Z
user_798,user_16,-1,2015-05-11T20:43:43Z
user_832,user_16,-0,2015-05-09T15:10:24Z
user_837,user_16,0,2015-05-12T08:10:18Z
user_913,user_16,-2,2015-05-16T11:54:54Z
user_975,user_16,1,2015-05-20T22:26:01Z
user_1004,user_16,-0,2015-05-21T20:11:40Z
user_1045,user_16,-1,2015-05-17T12:59:10Z
user_1093,user_16,-2,2015-05-09T17:16:03Z
user_38,user_17,0,2015-05-17T12:51:32Z
user_39,user_17,3,2015-05-18T22:02:37Z
user_52,user_17,1,2015-05-19T12:41:46Z
user_65,user_17,-2,2015-05-19T19:33:14Z
user_71,user_17,1,2015-05-20T07:56:08Z
user_142,user_17,-1,2015-05-14T13:52:39Z
user_203,user_17,4,2015-05-12T18:55:41Z
user_218,user_17,-0,2015-05-18T09:42:42Z
user_248,user_17,3,2015-05-14T07:45:09Z
user_264,user_17,1,2015-05-14T09:11:14Z
user_281,user_17,1,2015-05-21T23:16:46Z
user_289,user_17,1,2015-05-14T10:40:45Z
user_293,user_17,-0,2015-05-10T20:37:30Z
user_357,user_17,-0,2015-05-08T15:19:22Z
user_410,user_17,4,2015-05-21T15:59:33Z
user_427,user_17,2,2015-05-14T18:09:00Z
user_543,user_17,1,2015-05-19T08:10:17Z
user_573,user_17,1,2015-05-16T13:55:11Z
user_578,user_17,2,2015-05-13T16:03:40Z
user_601,user_17,2,2015-05-21T19:29:22Z
user_611,user_17,3,2015-05-19T14:37:59Z
user_619,user_17,2,2015-05-11T21:14:54Z
user_628,user_17,2,2015-05-12T18:59:02Z
user_633,user_17,-0,2015-05-21T23:04:14Z
user_727,user_17,1,2015-05-17T13:08:17Z
user_760,user_17,4,2015-05-18T20:08:58Z
user_817,user_17,1,2015-05-21T11:10:54Z
user_821,user_17,3,2015-05-21T22:00:29Z
user_856,user_17,1,2015-05-08T23:39:10Z
user_864,user_17,3,2015-05-11T06:58:36Z
