from,to,time,cascade_id
460,604,6,5
409,192,6,5
441,192,6,5
460,192,6,5
711,192,6,5
409,128,6,5
441,128,6,5
460,128,6,5
711,128,6,5
337,128,6,5
409,574,6,5
441,574,6,5
460,574,6,5
711,574,6,5
337,574,6,5
1068,574,6,5
409,557,6,5
441,557,6,5
460,557,6,5
711,557,6,5
337,557,6,5
1068,557,6,5
607,557,6,5
409,696,6,5
441,696,6,5
460,696,6,5
711,696,6,5
337,696,6,5
1068,696,6,5
607,696,6,5
253,696,6,5
895,696,6,5
409,1058,6,5
441,1058,6,5
460,1058,6,5
711,1058,6,5
337,1058,6,5
1068,1058,6,5
607,1058,6,5
253,1058,6,5
895,1058,6,5
755,1058,6,5
720,441,7,5
720,755,7,5
1093,755,7,5
720,711,7,5
1093,711,7,5
720,253,7,5
1093,253,7,5
720,460,7,5
1093,460,7,5
720,409,7,5
1093,409,7,5
720,895,7,5
1093,895,7,5
18,895,7,5
720,1068,7,5
1093,1068,7,5
18,1068,7,5
699,1068,7,5
720,337,7,5
1093,337,7,5
18,337,7,5
699,337,7,5
497,337,7,5
720,607,7,5
1093,607,7,5
18,607,7,5
699,607,7,5
497,607,7,5
13,720,8,5
13,18,8,5
13,497,8,5
19,497,8,5
778,497,8,5
548,694,0,6
1033,698,0,7
1380,622,0,10
785,280,0,12
1017,280,0,12
166,1017,1,12
511,1017,1,12
601,511,2,12
601,166,2,12
350,129,0,13
985,129,0,13
911,350,1,13
924,350,1,13
911,985,1,13
924,985,1,13
630,911,2,13
693,911,2,13
1233,911,2,13
630,924,2,13
693,924,2,13
1233,924,2,13
252,924,2,13
32,252,3,13
211,252,3,13
32,1233,3,13
211,1233,3,13
442,1233,3,13
32,630,3,13
211,630,3,13
442,630,3,13
32,693,3,13
211,693,3,13
442,693,3,13
387,693,3,13
749,387,4,13
749,32,4,13
749,442,4,13
11,442,4,13
749,211,4,13
11,211,4,13
452,11,5,13
653,11,5,13
497,452,6,13
1167,1382,0,14
1210,1382,0,14
27,1210,1,14
1437,1210,1,14
27,1167,1,14
1437,1167,1,14
15,27,2,14
586,27,2,14
438,586,3,14
854,586,3,14
987,854,4,14
987,438,4,14
125,438,4,14
433,438,4,14
770,433,5,14
770,987,5,14
392,441,0,18
408,441,0,18
544,408,1,18
597,408,1,18
830,91,0,19
129,289,0,26
50,129,1,26
331,129,1,26
350,129,1,26
44,350,2,26
44,50,2,26
450,50,2,26
603,50,2,26
811,44,3,26
811,603,3,26
811,450,3,26
551,450,3,26
1254,450,3,26
937,551,4,26
937,811,4,26
827,811,4,26
930,280,0,27
28,930,1,27
363,930,1,27
530,930,1,27
94,363,2,27
94,28,2,27
1068,28,2,27
94,530,2,27
1068,530,2,27
319,530,2,27
230,94,3,27
230,319,3,27
907,319,3,27
443,230,4,27
443,907,4,27
971,907,4,27
179,971,5,27
179,443,5,27
365,443,5,27
34,179,6,27
247,179,6,27
808,179,6,27
34,365,6,27
247,365,6,27
808,365,6,27
97,365,6,27
1393,365,6,27
440,808,7,27
611,808,7,27
440,34,7,27
611,34,7,27
168,34,7,27
462,34,7,27
440,247,7,27
611,247,7,27
168,247,7,27
462,247,7,27
716,247,7,27
133,611,8,27
133,716,8,27
133,462,8,27
703,462,8,27
777,133,9,27
777,703,9,27
628,777,10,27
792,629,0,30
527,792,1,30
70,1013,0,31
256,1013,0,31
960,1013,0,31
192,960,1,31
259,960,1,31
563,960,1,31
851,960,1,31
192,70,1,31
259,70,1,31
563,70,1,31
851,70,1,31
884,70,1,31
997,70,1,31
135,259,2,31
135,997,2,31
712,997,2,31
135,563,2,31
712,563,2,31
367,563,2,31
3,135,3,31
3,367,3,31
3,712,3,31
236,712,3,31
307,712,3,31
85,3,4,31
523,3,4,31
85,307,4,31
523,307,4,31
55,307,4,31
204,307,4,31
355,307,4,31
867,307,4,31
85,236,4,31
523,236,4,31
55,236,4,31
204,236,4,31
355,236,4,31
867,236,4,31
103,204,5,31
103,55,5,31
591,55,5,31
1399,55,5,31
103,355,5,31
591,355,5,31
1399,355,5,31
103,523,5,31
591,523,5,31
1399,523,5,31
1192,523,5,31
103,85,5,31
591,85,5,31
1399,85,5,31
1192,85,5,31
295,103,6,31
295,1192,6,31
295,1399,6,31
131,295,7,31
665,295,7,31
702,665,8,31
562,702,9,31
267,562,10,31
365,562,10,31
1480,562,10,31
593,1480,11,31
100,222,0,32
845,1443,0,35
524,845,1,35
908,524,2,35
1022,1398,0,36
1373,1398,0,36
121,1022,1,36
451,1022,1,36
922,1022,1,36
1025,1022,1,36
121,1373,1,36
451,1373,1,36
922,1373,1,36
1025,1373,1,36
110,121,2,36
892,121,2,36
110,1025,2,36
892,1025,2,36
335,1025,2,36
110,922,2,36
892,922,2,36
335,922,2,36
110,451,2,36
892,451,2,36
335,451,2,36
337,451,2,36
547,451,2,36
270,547,3,36
862,547,3,36
270,335,3,36
862,335,3,36
270,337,3,36
862,337,3,36
676,337,3,36
270,110,3,36
862,110,3,36
676,110,3,36
147,110,3,36
266,110,3,36
923,110,3,36
182,923,4,36
598,923,4,36
182,676,4,36
598,676,4,36
182,266,4,36
598,266,4,36
1071,266,4,36
182,147,4,36
598,147,4,36
1071,147,4,36
438,147,4,36
182,270,4,36
598,270,4,36
1071,270,4,36
438,270,4,36
217,270,4,36
268,270,4,36
272,182,5,36
571,182,5,36
997,182,5,36
272,1071,5,36
571,1071,5,36
997,1071,5,36
772,1071,5,36
272,268,5,36
571,268,5,36
997,268,5,36
772,268,5,36
27,268,5,36
453,268,5,36
272,217,5,36
571,217,5,36
997,217,5,36
772,217,5,36
27,217,5,36
453,217,5,36
265,217,5,36
272,598,5,36
571,598,5,36
997,598,5,36
772,598,5,36
27,598,5,36
453,598,5,36
265,598,5,36
1028,598,5,36
209,772,6,36
209,1028,6,36
350,1028,6,36
424,1028,6,36
549,1028,6,36
209,265,6,36
350,265,6,36
424,265,6,36
549,265,6,36
390,265,6,36
209,272,6,36
350,272,6,36
424,272,6,36
549,272,6,36
390,272,6,36
495,272,6,36
209,27,6,36
350,27,6,36
424,27,6,36
549,27,6,36
390,27,6,36
495,27,6,36
764,27,6,36
209,453,6,36
350,453,6,36
424,453,6,36
549,453,6,36
390,453,6,36
495,453,6,36
764,453,6,36
10,453,6,36
209,997,6,36
350,997,6,36
424,997,6,36
549,997,6,36
390,997,6,36
495,997,6,36
764,997,6,36
10,997,6,36
209,571,6,36
350,571,6,36
424,571,6,36
549,571,6,36
390,571,6,36
495,571,6,36
764,571,6,36
10,571,6,36
546,495,7,36
599,495,7,36
546,424,7,36
599,424,7,36
546,390,7,36
599,390,7,36
546,549,7,36
599,549,7,36
546,209,7,36
599,209,7,36
26,209,7,36
219,209,7,36
546,10,7,36
599,10,7,36
26,10,7,36
219,10,7,36
546,764,7,36
599,764,7,36
26,764,7,36
219,764,7,36
939,764,7,36
243,546,8,36
421,546,8,36
243,219,8,36
421,219,8,36
363,219,8,36
664,219,8,36
243,26,8,36
421,26,8,36
363,26,8,36
664,26,8,36
583,26,8,36
243,939,8,36
421,939,8,36
363,939,8,36
664,939,8,36
583,939,8,36
719,939,8,36
243,599,8,36
421,599,8,36
363,599,8,36
664,599,8,36
583,599,8,36
719,599,8,36
535,719,9,36
535,363,9,36
1270,363,9,36
535,664,9,36
1270,664,9,36
308,664,9,36
470,664,9,36
606,664,9,36
535,583,9,36
1270,583,9,36
308,583,9,36
470,583,9,36
606,583,9,36
1059,583,9,36
1252,583,9,36
535,243,9,36
1270,243,9,36
308,243,9,36
470,243,9,36
606,243,9,36
1059,243,9,36
1252,243,9,36
708,243,9,36
359,1059,10,36
378,1059,10,36
359,606,10,36
378,606,10,36
359,1252,10,36
378,1252,10,36
359,308,10,36
378,308,10,36
359,470,10,36
378,470,10,36
51,470,10,36
359,535,10,36
378,535,10,36
51,535,10,36
172,535,10,36
552,359,11,36
552,172,11,36
1086,552,12,36
1443,256,0,38
424,527,0,41
1061,527,0,41
899,937,0,42
1064,937,0,42
181,899,1,42
676,899,1,42
1078,899,1,42
199,1078,2,42
538,1078,2,42
635,1078,2,42
199,676,2,42
538,676,2,42
635,676,2,42
957,676,2,42
315,957,3,42
315,538,3,42
77,538,3,42
655,538,3,42
315,199,3,42
77,199,3,42
655,199,3,42
827,199,3,42
315,635,3,42
77,635,3,42
655,635,3,42
827,635,3,42
1185,635,3,42
828,655,4,42
828,315,4,42
828,77,4,42
828,827,4,42
393,827,4,42
737,827,4,42
771,827,4,42
400,828,5,42
507,828,5,42
400,737,5,42
507,737,5,42
400,393,5,42
507,393,5,42
453,400,6,42
453,507,6,42
552,507,6,42
892,507,6,42
911,453,7,42
1129,168,0,43
989,1129,1,43
518,989,2,43
815,989,2,43
631,815,3,43
1172,815,3,43
631,518,3,43
1172,518,3,43
201,518,3,43
379,518,3,43
892,518,3,43
194,631,4,43
194,379,4,43
531,379,4,43
1005,379,4,43
194,201,4,43
531,201,4,43
1005,201,4,43
274,201,4,43
194,1172,4,43
531,1172,4,43
1005,1172,4,43
274,1172,4,43
1180,1172,4,43
194,892,4,43
531,892,4,43
1005,892,4,43
274,892,4,43
1180,892,4,43
360,274,5,43
917,274,5,43
360,1180,5,43
917,1180,5,43
360,194,5,43
917,194,5,43
155,194,5,43
360,1005,5,43
917,1005,5,43
155,1005,5,43
324,1005,5,43
386,1005,5,43
360,531,5,43
917,531,5,43
155,531,5,43
324,531,5,43
386,531,5,43
1006,531,5,43
126,360,6,43
533,360,6,43
126,155,6,43
533,155,6,43
126,1006,6,43
533,1006,6,43
661,1006,6,43
126,324,6,43
533,324,6,43
661,324,6,43
126,386,6,43
533,386,6,43
661,386,6,43
864,386,6,43
1017,386,6,43
126,917,6,43
533,917,6,43
661,917,6,43
864,917,6,43
1017,917,6,43
534,661,7,43
534,1017,7,43
1015,1017,7,43
534,864,7,43
1015,864,7,43
153,864,7,43
689,864,7,43
807,864,7,43
534,533,7,43
1015,533,7,43
153,533,7,43
689,533,7,43
807,533,7,43
70,533,7,43
141,533,7,43
572,533,7,43
534,126,7,43
1015,126,7,43
153,126,7,43
689,126,7,43
807,126,7,43
70,126,7,43
141,126,7,43
572,126,7,43
981,126,7,43
337,534,8,43
1019,534,8,43
337,70,8,43
1019,70,8,43
337,807,8,43
1019,807,8,43
320,807,8,43
598,807,8,43
1287,807,8,43
337,572,8,43
1019,572,8,43
320,572,8,43
598,572,8,43
1287,572,8,43
337,981,8,43
1019,981,8,43
320,981,8,43
598,981,8,43
1287,981,8,43
11,981,8,43
235,981,8,43
337,1015,8,43
1019,1015,8,43
320,1015,8,43
598,1015,8,43
1287,1015,8,43
11,1015,8,43
235,1015,8,43
337,153,8,43
1019,153,8,43
320,153,8,43
598,153,8,43
1287,153,8,43
11,153,8,43
235,153,8,43
997,153,8,43
920,337,9,43
920,235,9,43
920,320,9,43
766,320,9,43
920,11,9,43
766,11,9,43
1060,11,9,43
1383,11,9,43
920,598,9,43
766,598,9,43
1060,598,9,43
1383,598,9,43
920,1287,9,43
766,1287,9,43
1060,1287,9,43
1383,1287,9,43
184,766,10,43
184,1383,10,43
268,565,0,48
875,565,0,48
9,875,1,48
9,268,1,48
170,268,1,48
987,268,1,48
209,170,2,48
209,987,2,48
209,9,2,48
69,209,3,48
91,69,4,48
231,69,4,48
1418,69,4,48
1317,1418,5,48
1101,1317,6,48
1419,1317,6,48
257,737,0,49
343,737,0,49
314,257,1,49
1337,257,1,49
1173,1337,2,49
126,44,0,50
1025,1299,0,53
1402,1299,0,53
1452,1299,0,53
527,1025,1,53
527,1402,1,53
991,1402,1,53
160,527,2,53
160,991,2,53
339,235,0,55
634,339,1,55
200,1435,0,56
834,430,0,58
851,834,1,58
981,851,2,58
435,506,0,60
1064,506,0,60
35,435,1,60
134,435,1,60
849,435,1,60
35,1064,1,60
134,1064,1,60
849,1064,1,60
44,1064,1,60
114,1064,1,60
879,1064,1,60
1050,1064,1,60
204,35,2,60
204,849,2,60
126,849,2,60
204,1050,2,60
126,1050,2,60
204,134,2,60
126,134,2,60
166,134,2,60
204,44,2,60
126,44,2,60
166,44,2,60
204,879,2,60
126,879,2,60
166,879,2,60
583,541,0,61
521,196,0,63
841,196,0,63
345,841,1,63
352,841,1,63
345,521,1,63
352,521,1,63
429,345,2,63
135,429,3,63
621,780,0,67
498,621,1,67
573,278,0,70
1080,278,0,70
772,573,1,70
772,1080,1,70
1228,1080,1,70
768,772,2,70
886,772,2,70
768,1228,2,70
886,1228,2,70
326,886,3,70
33,50,0,71
478,33,1,71
575,33,1,71
143,1060,0,72
960,1060,0,72
114,143,1,72
275,143,1,72
698,275,2,72
698,114,2,72
320,698,3,72
1074,320,4,72
850,1074,5,72
966,1074,5,72
36,966,6,72
583,966,6,72
252,583,7,72
252,36,7,72
155,36,7,72
412,36,7,72
858,36,7,72
3,858,8,72
54,858,8,72
558,858,8,72
999,858,8,72
3,252,8,72
54,252,8,72
558,252,8,72
999,252,8,72
3,155,8,72
54,155,8,72
558,155,8,72
999,155,8,72
3,412,8,72
54,412,8,72
558,412,8,72
999,412,8,72
164,3,9,72
164,54,9,72
217,54,9,72
138,164,10,72
138,217,10,72
604,138,11,72
460,604,12,72
729,604,12,72
1085,460,13,72
493,1085,14,72
354,753,0,73
731,753,0,73
1060,753,0,73
234,1060,1,73
234,731,1,73
522,731,1,73
234,354,1,73
522,354,1,73
703,354,1,73
373,522,2,73
373,703,2,73
936,703,2,73
373,234,2,73
936,234,2,73
832,936,3,73
861,936,3,73
159,331,0,75
440,331,0,75
5,440,1,75
5,159,1,75
106,5,2,75
314,5,2,75
717,5,2,75
212,314,3,75
123,1009,0,79
244,1009,0,79
848,244,1,79
848,123,1,79
1059,848,2,79
737,1059,3,79
613,737,4,79
722,737,4,79
636,818,0,80
964,636,1,80
449,674,0,81
1347,1340,0,83
211,1034,0,84
409,211,1,84
507,211,1,84
125,662,0,86
382,662,0,86
794,662,0,86
1005,794,1,86
1005,382,1,86
678,382,1,86
840,382,1,86
1178,382,1,86
1005,125,1,86
678,125,1,86
840,125,1,86
1178,125,1,86
43,125,1,86
913,125,1,86
738,913,2,86
738,1005,2,86
738,1178,2,86
738,43,2,86
471,43,2,86
738,840,2,86
471,840,2,86
452,840,2,86
400,319,0,87
1051,423,0,93
437,1051,1,93
911,1182,0,96
1288,1182,0,96
979,911,1,96
1233,911,1,96
439,979,2,96
84,568,0,97
585,84,1,97
855,84,1,97
775,238,0,98
9,775,1,98
908,777,0,99
363,826,0,100
772,630,0,102
10,772,1,102
736,10,2,102
848,10,2,102
946,10,2,102
1301,10,2,102
458,946,3,102
458,736,3,102
662,736,3,102
458,1301,3,102
662,1301,3,102
196,656,0,103
468,656,0,103
949,468,1,103
392,1477,0,104
195,1012,0,105
835,1012,0,105
1226,835,1,105
1226,195,1,105
614,195,1,105
22,614,2,105
22,1226,2,105
1239,1226,2,105
1278,1226,2,105
1280,1278,3,105
1280,1239,3,105
1342,1239,3,105
1454,1239,3,105
1280,22,3,105
1342,22,3,105
1454,22,3,105
529,996,0,106
989,996,0,106
371,529,1,106
753,529,1,106
371,989,1,106
753,989,1,106
563,371,2,106
563,753,2,106
355,753,2,106
327,374,0,107
294,327,1,107
530,294,2,107
766,294,2,107
920,294,2,107
79,920,3,107
503,920,3,107
79,530,3,107
503,530,3,107
233,79,4,107
233,503,4,107
774,233,5,107
37,804,0,108
708,45,0,111
473,708,1,111
586,43,0,114
286,586,1,114
171,212,0,116
823,171,1,116
50,823,2,116
896,570,0,118
826,896,1,118
61,15,0,120
769,15,0,120
126,769,1,120
126,61,1,120
516,126,2,120
1061,516,3,120
1063,516,3,120
1017,1063,4,120
1017,1061,4,120
985,1061,4,120
1092,1061,4,120
284,1092,5,120
1368,1022,0,122
852,1368,1,122
1301,1208,0,123
1327,1208,0,123
1132,1415,0,127
80,1270,0,128
1370,1270,0,128
193,377,0,131
658,744,0,132
355,658,1,132
563,355,2,132
1351,355,2,132
770,669,0,134
1151,1238,0,138
1409,1238,0,138
1016,1409,1,138
256,1016,2,138
81,256,3,138
220,256,3,138
282,220,4,138
329,220,4,138
205,329,5,138
263,329,5,138
205,282,5,138
263,282,5,138
89,162,0,139
1060,162,0,139
99,1060,1,139
99,89,1,139
943,99,2,139
1011,943,3,139
256,1011,4,139
670,256,5,139
255,670,6,139
1361,670,6,139
138,255,7,139
340,255,7,139
138,1361,7,139
340,1361,7,139
1172,1361,7,139
92,138,8,139
1301,138,8,139
92,1172,8,139
1301,1172,8,139
1063,1172,8,139
1192,1172,8,139
92,340,8,139
1301,340,8,139
1063,340,8,139
1192,340,8,139
232,340,8,139
61,92,9,139
61,1301,9,139
61,1192,9,139
61,1063,9,139
382,1063,9,139
61,232,9,139
382,232,9,139
403,61,10,139
403,382,10,139
863,403,11,139
44,863,12,139
157,863,12,139
525,863,12,139
412,44,13,139
732,44,13,139
412,157,13,139
732,157,13,139
993,157,13,139
412,525,13,139
732,525,13,139
993,525,13,139
71,525,13,139
920,525,13,139
1183,525,13,139
713,732,14,139
713,71,14,139
604,71,14,139
654,71,14,139
713,993,14,139
604,993,14,139
654,993,14,139
96,993,14,139
805,993,14,139
713,1183,14,139
604,1183,14,139
654,1183,14,139
96,1183,14,139
805,1183,14,139
16,96,15,139
360,96,15,139
16,654,15,139
360,654,15,139
85,654,15,139
473,654,15,139
16,604,15,139
360,604,15,139
85,604,15,139
473,604,15,139
16,713,15,139
360,713,15,139
85,713,15,139
473,713,15,139
563,713,15,139
16,805,15,139
360,805,15,139
85,805,15,139
473,805,15,139
563,805,15,139
41,805,15,139
180,360,16,139
376,360,16,139
180,563,16,139
376,563,16,139
180,16,16,139
376,16,16,139
1016,16,16,139
180,473,16,139
376,473,16,139
1016,473,16,139
828,473,16,139
847,473,16,139
913,473,16,139
180,41,16,139
376,41,16,139
1016,41,16,139
828,41,16,139
847,41,16,139
913,41,16,139
247,1016,17,139
285,1016,17,139
247,828,17,139
285,828,17,139
140,828,17,139
247,913,17,139
285,913,17,139
140,913,17,139
941,913,17,139
247,180,17,139
285,180,17,139
140,180,17,139
941,180,17,139
247,847,17,139
285,847,17,139
140,847,17,139
941,847,17,139
190,847,17,139
571,847,17,139
247,376,17,139
285,376,17,139
140,376,17,139
941,376,17,139
190,376,17,139
571,376,17,139
155,376,17,139
243,376,17,139
279,376,17,139
698,247,18,139
698,279,18,139
698,155,18,139
763,155,18,139
897,155,18,139
698,285,18,139
763,285,18,139
897,285,18,139
698,941,18,139
763,941,18,139
897,941,18,139
698,190,18,139
763,190,18,139
897,190,18,139
698,243,18,139
763,243,18,139
897,243,18,139
265,243,18,139
302,243,18,139
234,265,19,139
234,698,19,139
594,698,19,139
1032,698,19,139
234,302,19,139
594,302,19,139
1032,302,19,139
1059,302,19,139
234,897,19,139
594,897,19,139
1032,897,19,139
1059,897,19,139
234,763,19,139
594,763,19,139
1032,763,19,139
1059,763,19,139
637,1032,20,139
637,234,20,139
929,234,20,139
637,594,20,139
929,594,20,139
637,1059,20,139
929,1059,20,139
1440,1059,20,139
1263,1440,21,139
1263,929,21,139
1087,448,0,140
455,513,0,141
827,406,0,143
1057,827,1,143
358,1057,2,143
1002,323,0,144
404,1002,1,144
296,458,0,146
1024,267,0,149
234,665,0,150
777,665,0,150
63,499,0,151
737,499,0,151
552,445,0,153
231,552,1,153
1080,231,2,153
392,1080,3,153
592,1080,3,153
157,592,4,153
567,710,0,154
954,327,0,155
1022,954,1,155
879,1022,2,155
1041,1022,2,155
188,1041,3,155
651,1041,3,155
436,188,4,155
436,651,4,155
51,651,4,155
1298,651,4,155
1161,1298,5,155
1161,436,5,155
485,436,5,155
1161,51,5,155
485,51,5,155
557,277,0,156
1328,277,0,156
373,557,1,156
600,557,1,156
373,1328,1,156
600,1328,1,156
246,600,2,156
246,373,2,156
785,78,0,157
1101,532,0,158
1378,110,0,163
1456,1429,0,164
386,673,0,170
889,673,0,170
310,386,1,170
497,386,1,170
821,386,1,170
1069,386,1,170
310,889,1,170
497,889,1,170
821,889,1,170
1069,889,1,170
234,889,1,170
498,889,1,170
1424,889,1,170
457,310,2,170
457,1069,2,170
457,234,2,170
807,234,2,170
1033,234,2,170
457,821,2,170
807,821,2,170
1033,821,2,170
582,821,2,170
457,498,2,170
807,498,2,170
1033,498,2,170
582,498,2,170
397,498,2,170
457,1424,2,170
807,1424,2,170
1033,1424,2,170
582,1424,2,170
397,1424,2,170
457,497,2,170
807,497,2,170
1033,497,2,170
582,497,2,170
397,497,2,170
745,497,2,170
1000,497,2,170
733,397,3,170
733,1000,3,170
713,1000,3,170
733,457,3,170
713,457,3,170
733,582,3,170
713,582,3,170
733,745,3,170
713,745,3,170
733,1033,3,170
713,1033,3,170
336,1033,3,170
733,807,3,170
713,807,3,170
336,807,3,170
894,733,4,170
894,713,4,170
190,713,4,170
755,713,4,170
1077,713,4,170
894,336,4,170
190,336,4,170
755,336,4,170
1077,336,4,170
558,190,5,170
558,1077,5,170
558,755,5,170
558,894,5,170
16,894,5,170
541,894,5,170
514,541,6,170
734,541,6,170
514,558,6,170
734,558,6,170
833,734,7,170
833,514,7,170
140,514,7,170
317,140,8,170
317,833,8,170
42,317,9,170
360,317,9,170
355,42,10,170
1025,355,11,170
258,1025,12,170
335,1025,12,170
1009,1025,12,170
504,258,13,170
53,504,14,170
979,53,15,170
330,979,16,170
723,330,17,170
868,723,18,170
310,1062,0,171
569,310,1,171
1008,310,1,171
122,569,2,171
122,1008,2,171
930,800,0,172
1095,800,0,172
165,1095,1,172
165,930,1,172
1063,930,1,172
11,165,2,172
941,120,0,173
1009,120,0,173
29,941,1,173
29,1009,1,173
314,29,2,173
488,847,0,175
746,847,0,175
56,746,1,175
341,56,2,175
1044,56,2,175
298,1044,3,175
446,1044,3,175
482,298,4,175
996,298,4,175
1099,298,4,175
482,446,4,175
996,446,4,175
1099,446,4,175
628,446,4,175
491,628,5,175
1031,628,5,175
491,482,5,175
1031,482,5,175
491,1099,5,175
1031,1099,5,175
889,260,0,179
518,889,1,179
152,518,2,179
379,518,2,179
375,379,3,179
668,379,3,179
375,152,3,179
668,152,3,179
339,152,3,179
481,152,3,179
84,481,4,179
131,481,4,179
84,339,4,179
131,339,4,179
982,945,0,180
122,982,1,180
1091,982,1,180
684,1091,2,180
1085,1091,2,180
92,1085,3,180
427,1085,3,180
1030,1085,3,180
92,684,3,180
427,684,3,180
1030,684,3,180
864,684,3,180
959,684,3,180
274,959,4,180
274,864,4,180
28,864,4,180
653,864,4,180
274,92,4,180
28,92,4,180
653,92,4,180
699,92,4,180
1032,92,4,180
274,1030,4,180
28,1030,4,180
653,1030,4,180
699,1030,4,180
1032,1030,4,180
55,1030,4,180
918,1030,4,180
274,427,4,180
28,427,4,180
653,427,4,180
699,427,4,180
1032,427,4,180
55,427,4,180
918,427,4,180
43,427,4,180
471,43,5,180
867,43,5,180
471,918,5,180
867,918,5,180
471,28,5,180
867,28,5,180
471,274,5,180
867,274,5,180
49,274,5,180
471,699,5,180
867,699,5,180
49,699,5,180
471,55,5,180
867,55,5,180
49,55,5,180
471,653,5,180
867,653,5,180
49,653,5,180
1335,653,5,180
1077,867,6,180
1077,49,6,180
41,49,6,180
1077,1335,6,180
41,1335,6,180
1077,471,6,180
41,471,6,180
258,471,6,180
897,41,7,180
897,258,7,180
58,258,7,180
989,897,8,180
1282,1476,0,181
79,968,0,184
383,968,0,184
520,383,1,184
752,383,1,184
1139,752,2,184
1139,520,2,184
302,230,0,187
78,131,0,190
864,131,0,190
464,864,1,190
227,1041,0,192
446,227,1,192
539,446,2,192
981,446,2,192
99,981,3,192
235,981,3,192
368,99,4,192
450,99,4,192
368,235,4,192
450,235,4,192
481,235,4,192
49,481,5,192
1026,481,5,192
49,450,5,192
1026,450,5,192
678,450,5,192
1067,450,5,192
49,368,5,192
1026,368,5,192
678,368,5,192
1067,368,5,192
773,368,5,192
1087,1026,6,192
1087,1067,6,192
1087,49,6,192
263,49,6,192
1087,773,6,192
263,773,6,192
1087,678,6,192
263,678,6,192
661,678,6,192
837,678,6,192
259,232,0,193
198,259,1,193
1332,259,1,193
955,1332,2,193
1277,1332,2,193
82,861,0,194
542,861,0,194
169,641,0,198
782,641,0,198
970,641,0,198
318,169,1,198
1080,169,1,198
318,970,1,198
1080,970,1,198
1466,1245,0,202
786,818,0,203
1177,818,0,203
216,1095,0,205
702,216,1,205
711,702,2,205
840,702,2,205
1137,702,2,205
742,840,3,205
742,1137,3,205
50,742,4,205
239,50,5,205
883,50,5,205
984,239,6,205
984,883,6,205
93,984,7,205
